Date, scanner, mean_snr, mean_tsnr
2023-05-05, fmrif3td, 278.58, 199.29
2023-05-06, fmrif3td, 229.86, 161.74
2023-05-07, fmrif3td, 298.52, 199.63
2023-05-08, fmrif3td, 283.27, 188.04
2023-05-09, fmrif3td, 290.51, 206.3
2023-05-10, fmrif3td, 286.58, 201.41
2023-05-11, fmrif3td, 313.44, 188.97
2023-05-12, fmrif3td, 290.32, 201.89
2023-05-13, fmrif3td, 187.36, 123.41
2023-05-14, fmrif3td, 293.92, 195.7
2023-05-15, fmrif3td, 300.72, 189.81
2023-05-16, fmrif3td, 285.98, 201.72
2023-05-17, fmrif3td, 296.93, 199.09
2023-05-18, fmrif3td, 299.05, 200.44
2023-05-19, fmrif3td, 282.74, 194.37
2023-05-23, fmrif3td, 200.44, 130.15
2023-05-24, fmrif3td, 302.91, 194.67
2023-05-27, fmrif3td, 288.66, 193.96
2023-05-28, fmrif3td, 294.1, 194.72
2023-05-31, fmrif3td, 288.82, 203.46
2023-06-01, fmrif3td, 277.67, 194.92
2023-06-02, fmrif3td, 283.13, 200.42
2023-06-04, fmrif3td, 281.25, 193.22
2023-06-05, fmrif3td, 284.54, 190.54
2023-06-06, fmrif3td, 290.05, 188.1
2023-06-07, fmrif3td, 284.09, 189.06
2023-06-08, fmrif3td, 269.99, 194.06
2023-06-09, fmrif3td, 283.29, 188.16
2023-06-13, fmrif3td, 282.69, 200.32
2023-06-14, fmrif3td, 304.11, 207.75
2023-06-15, fmrif3td, 281.02, 193.4
2023-06-16, fmrif3td, 284.52, 198.67
2023-06-20, fmrif3td, 270.77, 186.61
2023-06-21, fmrif3td, 283.75, 198.83
2023-06-22, fmrif3td, 289.25, 192.58
2023-06-23, fmrif3td, 278.9, 192.24
2023-06-25, fmrif3td, 300.37, 203.1
2023-06-26, fmrif3td, 288.37, 196.82
2023-06-27, fmrif3td, 281.28, 193.98
2023-06-28, fmrif3td, 284.8, 197.83
2023-06-29, fmrif3td, 307.07, 199.09
2023-06-30, fmrif3td, 291.05, 197.51
2023-07-01, fmrif3td, 285.18, 190.1
2023-07-03, fmrif3td, 274.77, 199.55
2023-07-05, fmrif3td, 285.24, 209.01
2023-07-06, fmrif3td, 273.07, 200.09
2023-07-07, fmrif3td, 284.78, 200.82
2023-07-08, fmrif3td, 276.75, 195.88
2023-07-10, fmrif3td, 299.44, 193.05
2023-07-11, fmrif3td, 275.31, 196.53
2023-07-12, fmrif3td, 285.82, 207.85
2023-07-13, fmrif3td, 284.4, 197.36
2023-07-14, fmrif3td, 282.47, 195.15
2023-07-17, fmrif3td, 288.31, 212.88
2023-07-18, fmrif3td, 270.5, 193.5
2023-07-19, fmrif3td, 305.71, 176.72
2023-07-20, fmrif3td, 322.4, 383.42
2023-07-24, fmrif3td, 282.05, 185.48
2023-07-25, fmrif3td, 266.59, 190.01
2023-07-26, fmrif3td, 279.02, 193.97
2023-07-27, fmrif3td, 291.93, 241.17
2023-07-28, fmrif3td, 281.04, 188.82
2023-08-05, fmrif3td, 283.17, 193.03
2023-08-06, fmrif3td, 283.51, 190.61
2023-08-07, fmrif3td, 290.05, 197.65
2023-08-08, fmrif3td, 281.72, 190.04
