Date, scanner, mean_snr, mean_tsnr
2023-07-19, AWP79139, 402.39, 344.82
2023-07-21, AWP79139, 399.31, 372.33
2023-07-24, AWP79139, 445.38, 375.5
2023-07-25, AWP79139, 400.5, 359.02
2023-07-26, AWP79139, 396.53, 362.07
2023-07-27, AWP79139, 246.94, 253.16
2023-07-28, AWP79139, 436.51, 385.04
2023-08-05, AWP79139, 276.32, 323.29
2023-08-06, AWP79139, 379.88, 245.91
2023-08-07, AWP79139, 394.49, 343.18
2023-08-08, AWP79139, 390.73, 320.04
2023-08-09, AWP79139, 338.28, 312.85
2023-07-31, AWP79139, 323.28, 295.1
2023-08-10, AWP79139, 213.69, 219.68
2023-08-12, AWP79139, 423.4, 84
2023-08-13, AWP79139, 403.11, 314.91
2023-08-15, AWP79139, 401.85, 334.47
2023-08-16, AWP79139, 410.2, 340.27
2023-08-17, AWP79139, 395.11, 324.06
2023-08-18, AWP79139, 370.11, 251.37
2023-09-19, AWP79139, 398.36, 375.89
2023-09-20, AWP79139, 356.6, 332.76
2023-09-21, AWP79139, 393.62, 381.1
2023-09-22, AWP79139, 390.61, 369.84
2023-09-25, AWP79139, 335.24, 321.5
2023-09-26, AWP79139, 349.25, 315.77
2023-09-27, AWP79139, 427.38, 371.64
2023-09-28, AWP79139, 363.95, 385.44
2023-10-01, AWP79139, 388.88, 353.61
2023-10-02, AWP79139, 408.23, 357.11
2023-10-03, AWP79139, 395.33, 362.12
2023-10-04, AWP79139, 371.9, 359.11
2023-10-05, AWP79139, 382.39, 373.11
2023-10-06, AWP79139, 381.33, 358.05
2023-10-10, AWP79139, 311.93, 308.17
2023-10-11, AWP79139, 404.72, 355.95
2023-10-13, AWP79139, 412.78, 384.8
2023-10-16, AWP79139, 311.02, 308.02
2023-10-17, AWP79139, 293.05, 297.66
2023-10-18, AWP79139, 290.27, 285.65
2023-10-23, AWP79139, 362.99, 340.47
2023-10-24, AWP79139, 357.34, 326.46
2023-10-25, AWP79139, 380.83, 366.42
2023-10-26, AWP79139, 332.37, 353.84
2023-10-27, AWP79139, 343, 328.85
2023-10-30, AWP79139, 380.62, 345.82
2023-10-31, AWP79139, 406.23, 354.52
2023-11-01, AWP79139, 476.68, 406.07
2023-11-02, AWP79139, 437.98, 376.54
2023-11-03, AWP79139, 443.02, 398.33
2023-11-04, AWP79139, 393.44, 384.65
2023-11-08, AWP79139, 437.16, 375
2023-11-12, AWP79139, 425.3, 397.63
2023-11-13, AWP79139, 452.76, 403.65
