Date, scanner, mean_snr, mean_tsnr
2022-11-02, fmrif3tb, 391.62, 225.39
2022-11-04, fmrif3tb, 386.2, 192.28
2022-11-05, fmrif3tb, 364.36, 189.33
2022-11-12, fmrif3tb, 362.55, 218.82
2022-11-13, fmrif3tb, 423.32, 222.05
2022-11-14, fmrif3tb, 355.74, 183.25
2022-11-15, fmrif3tb, 409.45, 199.81
2022-11-16, fmrif3tb, 309.63, 127.14
2022-11-17, fmrif3tb, 377.65, 141.42
2022-10-27, fmrif3tb, 400.98, 226.7
2022-11-20, fmrif3tb, 385.26, 155.14
2022-10-23, fmrif3tb, 317.07, 164.59
2022-10-20, fmrif3tb, 407.22, 212.26
2022-10-05, fmrif3tb, 361.81, 191.48
2022-11-21, fmrif3tb, 427.94, 229.07
2022-10-11, fmrif3tb, 224.61, 124.19
2022-10-06, fmrif3tb, 361.4, 158.06
2022-11-23, fmrif3tb, 375, 200.86
2022-11-25, fmrif3tb, 259.51, 122.29
2022-11-28, fmrif3tb, 329.43, 192.06
2022-11-29, fmrif3tb, 391.05, 194.26
2022-11-30, fmrif3tb, 313.29, 136.11
2022-12-01, fmrif3tb, 310.53, 148.04
2022-12-02, fmrif3tb, 369.42, 193.36
2022-12-03, fmrif3ta, 383.08, 204.63
2022-12-03, fmrif3tb, 322.25, 143.58
2022-11-22, fmrif3tb, 309.58, 125.47
2022-12-05, fmrif3tb, 355.93, 229.6
2022-12-06, fmrif3tb, 291.15, 132.83
2022-12-07, fmrif3tb, 231.68, 119.42
2022-12-09, fmrif3tb, 437.08, 187.57
2022-12-10, fmrif3tb, 273.17, 137.4
2022-12-11, fmrif3tb, 193.98, 91.39
2022-12-13, fmrif3tb, 363.98, 184.28
2022-12-14, fmrif3tb, 307.67, 151.16
2022-12-15, fmrif3tb, 355.18, 174.41
2022-12-16, fmrif3tb, 345.22, 161.27
2022-12-19, fmrif3tb, 387.36, 160.84
2022-12-20, fmrif3tb, 337.4, 164.8
2022-12-21, fmrif3tb, 374.75, 188.13
2022-12-22, fmrif3tb, 203.4, 103.03
2022-12-23, fmrif3tb, 331.21, 171.17
