Date, scanner, mean_snr, mean_tsnr
2023-05-12, fmrif3ta, 287.52, 61.05
2023-05-17, fmrif3ta, 359.53, 199.53
2023-05-18, fmrif3ta, 401.72, 194.72
2023-05-20, fmrif3ta, 362.4, 195.69
2023-05-23, fmrif3ta, 406.42, 164.36
2023-05-24, fmrif3ta, 361.78, 198.51
2023-05-26, fmrif3ta, 408.87, 199.79
2023-05-27, fmrif3ta, 390.65, 177.9
2023-05-28, fmrif3ta, 384.06, 186.8
2023-05-30, fmrif3ta, 371.92, 180.26
2023-05-31, fmrif3ta, 369.31, 188.01
2023-06-01, fmrif3ta, 371.98, 206.39
2023-06-02, fmrif3ta, 358.28, 204.47
2023-06-03, fmrif3ta, 373.25, 160.11
2023-06-05, fmrif3ta, 397.52, 220.95
2023-06-06, fmrif3ta, 355.46, 188.1
2023-06-07, fmrif3ta, 364.04, 164.4
2023-06-08, fmrif3ta, 394, 205.38
2023-06-09, fmrif3ta, 380.87, 192.36
2023-06-12, fmrif3ta, 377.87, 203.19
2023-06-13, fmrif3ta, 380.87, 204.15
2023-06-14, fmrif3ta, 403.02, 205.42
2023-06-15, fmrif3ta, 412.22, 212.99
2023-06-16, fmrif3ta, 391.99, 183.53
2023-06-17, fmrif3ta, 410.65, 207.7
2023-06-20, fmrif3ta, 453.24, 231.78
2023-06-21, fmrif3ta, 339.46, 167.78
2023-06-22, fmrif3ta, 336.57, 199.56
2023-06-25, fmrif3ta, 359.94, 194.38
2023-06-26, fmrif3ta, 371.73, 190.49
2023-06-28, fmrif3ta, 427.19, 223.13
2023-06-29, fmrif3ta, 367.46, 188.15
2023-07-01, fmrif3ta, 397.25, 189.37
2023-07-05, fmrif3ta, 365.36, 198.4
2023-07-07, fmrif3ta, 316.94, 172.1
2023-07-08, fmrif3ta, 383.87, 187.17
2023-07-09, fmrif3ta, 387.57, 200.86
2023-07-10, fmrif3ta, 400.56, 216.3
2023-07-11, fmrif3ta, 354.75, 187.04
2023-07-12, fmrif3ta, 396.7, 188.22
2023-07-13, fmrif3ta, 362.5, 186.75
2023-07-14, fmrif3ta, 370.84, 204.13
2023-07-15, fmrif3ta, 369.67, 184.28
2023-07-17, fmrif3ta, 403.81, 214.9
2023-07-18, fmrif3ta, 401.37, 223.24
2023-07-19, fmrif3ta, 338.6, 185.19
2023-07-20, fmrif3ta, 423.4, 217.13
2023-07-26, fmrif3ta, 412.46, 210.55
