Date, scanner, mean_snr, mean_tsnr
2022-11-02, fmrif7ta, 301.28, 198.69
2022-11-04, fmrif7ta, 236.92, 196.08
2022-11-07, fmrif7ta, 278.78, 205.48
2022-11-08, fmrif7ta, 411.75, 283.38
2022-11-09, fmrif7ta, 292.69, 158.5
2022-11-12, fmrif7ta, 342.34, 184.53
2022-11-13, fmrif7ta, 284.94, 161.29
2022-11-14, fmrif7ta, 260.96, 185.38
2022-11-15, fmrif7ta, 287.29, 221.91
2022-11-16, fmrif7ta, 276.77, 194.14
2022-11-17, fmrif7ta, 298.77, 211.4
2022-11-01, fmrif7ta, 412.94, 252.85
2022-10-31, fmrif7ta, 281.1, 200.27
2022-10-28, fmrif7ta, 126.27, 186.42
2022-10-26, fmrif7ta, 390.83, 274.65
2022-10-25, fmrif7ta, 431.82, 270.86
2022-11-18, fmrif7ta, 278.51, 221.44
2022-10-24, fmrif7ta, 370.71, 264.13
2022-10-24, fmrif7ta, 294.34, 188.05
2022-10-24, fmrif7ta, 312.95, 186.75
2022-11-20, fmrif7ta, 339.18, 260.65
2022-10-05, fmrif7ta, 295.4, 178.44
2022-10-13, fmrif7ta, 267.68, 170.89
2022-11-21, fmrif7ta, 469.73, 299.09
2022-10-11, fmrif7ta, 420.76, 271.72
2022-10-06, fmrif7ta, 393.78, 283.93
2022-11-22, fmrif7ta, 498.2, 291.15
2022-11-23, fmrif7ta, 419.61, 292.53
2022-11-28, fmrif7ta, 416.46, 282.31
2022-11-29, fmrif7ta, 295.11, 183.89
2022-12-01, fmrif7ta, 231, 182.36
2022-12-02, fmrif7ta, 420.76, 266.79
2022-12-03, fmrif7ta, 304.03, 189.26
2022-12-04, fmrif7ta, 425.87, 309.54
2022-11-25, fmrif7ta, 435.79, 266.02
2022-12-07, fmrif7ta, 198.46, 191.14
2022-12-10, fmrif7ta, 281.03, 165.49
2022-12-11, fmrif7ta, 221.58, 162.8
2022-12-12, fmrif7ta, 278.54, 159.78
2022-12-14, fmrif7ta, 427.68, 307.58
2022-12-15, fmrif7ta, 376.76, 263.57
2022-12-16, fmrif7ta, 264.9, 195.08
2022-12-22, fmrif7ta, 317.52, 180.07
2022-12-23, fmrif7ta, 275.74, 215.12
2022-12-27, fmrif7ta, 273.85, 200.17
2022-12-28, fmrif7ta, 235.85, 177.96
2022-12-29, fmrif7ta, 228.52, 181.06
2022-12-30, fmrif7ta, 432.25, 269
2023-01-03, fmrif7ta, 406.61, 286.26
2023-01-04, fmrif7ta, 411.32, 278.67
2023-01-06, fmrif7ta, 161.49, 186.37
2023-01-09, fmrif7ta, 289.88, 179.51
2023-01-10, fmrif7ta, 286.19, 184.48
2023-01-11, fmrif7ta, 310.41, 193.15
2023-01-12, fmrif7ta, 350.49, 274.36
2023-01-13, fmrif7ta, 368.75, 250.4
2023-01-14, fmrif7ta, 120.65, 153.94
2023-01-17, fmrif7ta, 92.67, 159.36
2023-01-18, fmrif7ta, 71.03, 162.52
2023-01-19, fmrif7ta, 479.98, 304.52
2023-01-21, fmrif7ta, 417.43, 283.97
2023-01-22, fmrif7ta, 390.9, 276.05
2023-01-23, fmrif7ta, 406.96, 254.03
2023-01-24, fmrif7ta, 229.21, 207.53
2023-01-26, fmrif7ta, 293.5, 183.7
2023-01-25, fmrif7ta, 286.55, 203.26
2023-01-27, fmrif7ta, 232.8, 169.16
2023-01-30, fmrif7ta, 259.15, 173.21
2023-01-31, fmrif7ta, 317.62, 181.41
2023-02-02, fmrif7ta, 273.82, 209.68
2023-02-03, fmrif7ta, 254.13, 177.97
2023-02-06, fmrif7ta, 155.16, 151.24
2023-02-07, fmrif7ta, 249.71, 161.77
2023-02-08, fmrif7ta, 395.9, 286.08
2023-02-10, fmrif7ta, 428.53, 269.23
2023-02-11, fmrif7ta, 443.63, 286.4
2023-02-13, fmrif7ta, 430.82, 280.22
2023-02-14, fmrif7ta, 254.71, 203.28
2023-02-19, fmrif7ta, 391.11, 252.72
2023-02-28, fmrif7ta, 461.67, 265.12
2023-03-01, fmrif7ta, 291.98, 220.44
2023-03-02, fmrif7ta, 275.82, 196.68
2023-03-04, fmrif7ta, 307.2, 169.97
2023-03-05, fmrif7ta, 310.64, 179.69
2023-03-06, fmrif7ta, 428.01, 269.19
2023-03-07, fmrif7ta, 394.31, 247.48
2023-03-08, fmrif7ta, 213.5, 195.67
2023-03-09, fmrif7ta, 308.1, 210.29
2023-03-10, fmrif7ta, 418.04, 224.83
2023-03-13, fmrif7ta, 387.88, 262.4
2023-03-14, fmrif7ta, 389.64, 265.93
2023-03-16, fmrif7ta, 422.69, 270.33
2023-03-15, fmrif7ta, 465.91, 275.68
2023-03-14, fmrif7ta, 389.64, 265.93
